GEO_ID,county_name,state,county,pop_foreign_born,pop_not_citizen,pop_language_not_english,pop_not_in_labor_force,pop_private_wage_salary_workers,pop_households_fs_snap,pop_no_health_insurance,_pop_total,pop_hispanic,pop_NH_white,pop_NH_black,pop_NH_AIAN,pop_NH_asian,pop_NH_NHPI,pop_NH_some_other,pop_NH_two_or_more,pop_unhoused,pop_not_hs_graduate,pop_commute_drove_or_carpooled
0500000US29205,"Shelby County, Missouri",29,205,76,51,116,2174,1919,200,615,5986,139,5605,65,2,21,0,3,151,221,396,2144
0500000US29207,"Stoddard County, Missouri",29,207,123,62,321,9905,9976,1759,3152,28470,633,26398,316,21,42,17,19,1024,429,3266,11550
0500000US29209,"Stone County, Missouri",29,209,395,117,680,13877,10090,899,2999,32048,936,29649,99,99,87,0,44,1134,321,2036,10449
0500000US29211,"Sullivan County, Missouri",29,211,615,348,1049,2047,2132,204,499,5857,1059,4501,156,12,60,0,0,69,137,483,2405
0500000US29213,"Taney County, Missouri",29,213,1812,865,3509,19366,21070,2593,8192,56529,4307,48097,1008,127,569,0,92,2329,1713,3399,21874
0500000US29215,"Texas County, Missouri",29,215,269,31,576,10526,6413,1287,3144,25161,620,22383,890,62,37,0,41,1128,1497,2430,8082
0500000US29217,"Vernon County, Missouri",29,217,431,334,1193,6777,6354,1159,2769,19687,533,18236,177,24,155,1,5,556,633,1479,6842
0500000US29219,"Warren County, Missouri",29,219,359,133,969,11031,15731,952,2729,37177,1530,33253,401,49,159,2,28,1755,274,2458,15963
0500000US29221,"Washington County, Missouri",29,221,182,72,383,9026,7320,1792,2342,23470,266,21540,399,6,31,0,19,1209,960,2364,8473
0500000US29223,"Wayne County, Missouri",29,223,66,31,75,4836,2961,844,1444,10862,159,10037,46,0,30,0,86,504,187,1475,3552
0500000US29225,"Webster County, Missouri",29,225,661,273,3030,12654,12985,1367,6133,40500,947,36949,434,96,49,66,79,1880,1077,3094,15272
0500000US29227,"Worth County, Missouri",29,227,8,0,13,669,571,93,151,1934,12,1842,2,4,0,0,0,74,32,69,738
0500000US29229,"Wright County, Missouri",29,229,184,33,591,6867,5673,974,2533,18965,497,17397,103,14,65,0,108,781,181,1980,6533
0500000US29510,"St. Louis city, Missouri",29,510,20450,11342,25678,80683,125672,26878,26533,288512,15297,128219,121473,433,10146,77,1303,11564,10329,19332,105505
0500000US30001,"Beaverhead County, Montana",30,001,155,147,373,3583,3319,304,409,9713,508,8655,48,128,28,1,4,341,445,499,3807
0500000US30003,"Big Horn County, Montana",30,003,109,54,2671,4053,2929,671,2761,12891,610,3476,34,8534,25,0,0,212,204,772,3832
0500000US30005,"Blaine County, Montana",30,005,115,60,649,1964,1377,336,1255,6949,194,3062,29,3268,7,0,0,389,197,400,2020
0500000US30007,"Broadwater County, Montana",30,007,62,30,154,2381,2786,100,574,7668,217,6818,17,90,15,0,0,511,62,478,3273
0500000US30009,"Carbon County, Montana",30,009,69,45,236,3793,4021,286,907,11116,337,10020,31,20,3,26,176,503,97,293,3934
0500000US30011,"Carter County, Montana",30,011,5,3,4,472,294,32,96,1308,32,1163,1,2,0,0,1,109,27,63,299
0500000US30013,"Cascade County, Montana",30,013,1933,810,3278,25258,29505,3704,5682,84606,4470,69694,1102,2797,841,5,647,5050,2806,3244,35542
0500000US30015,"Chouteau County, Montana",30,015,88,29,86,2318,1285,204,331,5906,183,4451,4,980,4,0,2,282,141,274,1849
0500000US30017,"Custer County, Montana",30,017,157,71,319,3435,4257,415,903,11961,409,10648,4,217,54,0,21,608,484,375,5486
0500000US30019,"Daniels County, Montana",30,019,35,10,18,490,519,21,29,1494,50,1349,4,21,9,0,19,42,18,62,648
0500000US30021,"Dawson County, Montana",30,021,39,11,75,2630,3125,127,561,8827,319,7983,16,115,22,16,56,300,407,426,3841
0500000US30023,"Deer Lodge County, Montana",30,023,36,18,187,3930,3192,586,518,9597,335,8570,34,185,23,8,21,421,792,583,3667
0500000US30025,"Fallon County, Montana",30,025,52,0,2,902,869,27,85,2760,4,2544,0,62,0,0,0,150,73,7,1071
0500000US30027,"Fergus County, Montana",30,027,253,48,495,3411,4188,389,1854,11687,278,10800,66,250,76,0,0,217,421,415,4127
0500000US30029,"Flathead County, Montana",30,029,3114,1203,3192,33781,41929,2870,11025,110695,4076,99670,236,878,931,4,505,4395,1397,3574,42349
0500000US30031,"Gallatin County, Montana",30,031,5075,2649,6143,29874,55922,1448,8586,124074,6658,108625,555,640,1540,13,1039,5004,4518,2273,53389
0500000US30033,"Garfield County, Montana",30,033,0,0,0,356,263,13,106,1094,0,1058,0,12,0,0,0,24,13,29,224
0500000US30035,"Glacier County, Montana",30,035,107,72,1016,4419,2349,1023,3188,13637,389,4029,27,8643,81,32,29,407,580,1238,3773
0500000US30037,"Golden Valley County, Montana",30,037,9,3,75,356,250,3,206,899,39,812,7,5,0,1,1,34,27,91,228
0500000US30039,"Granite County, Montana",30,039,76,55,98,1395,1037,87,290,3462,91,3115,5,63,32,2,17,137,118,172,1252
0500000US30041,"Hill County, Montana",30,041,163,77,369,4699,5066,810,1329,16155,566,10841,41,3538,27,7,114,1021,478,910,6056
0500000US30043,"Jefferson County, Montana",30,043,128,31,283,4151,4172,257,736,12774,380,11569,4,174,50,0,40,557,287,571,5043
0500000US30045,"Judith Basin County, Montana",30,045,47,46,75,587,640,49,141,2071,159,1861,0,29,0,0,3,19,9,102,705
0500000US30047,"Lake County, Montana",30,047,758,328,1934,11767,9720,1345,4681,32561,1397,21037,71,6376,215,58,83,3324,410,1650,10878
0500000US30049,"Lewis and Clark County, Montana",30,049,1374,505,1924,21616,23896,2432,4103,73464,2958,65103,385,944,359,0,295,3420,1587,2700,28944
0500000US30051,"Liberty County, Montana",30,051,56,39,246,605,547,47,66,1952,1,1823,0,46,14,0,7,61,130,220,456
0500000US30053,"Lincoln County, Montana",30,053,547,336,1144,10022,5495,1112,3130,21175,654,19047,12,231,42,28,48,1113,261,1555,5509
0500000US30055,"McCone County, Montana",30,055,21,0,18,569,428,2,87,1670,4,1538,0,42,17,0,0,69,45,30,586
